"latitude","longitude","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight","type","source","raw_row","easting_m","northing_m","month"
-1.5191,114.39319,302.74,0.4,0.45,2026-01-13,"1731","SNPP","SNPP","n","2",284.14,0.59,"N",0,"archive",635,209927.953519029,9831918.38545118,"2026-01"
-1.515,114.39384,307.58,0.4,0.45,2026-01-13,"1731","SNPP","SNPP","n","2",284.39,0.73,"N",2,"archive",643,209999.785598774,9832372.12089517,"2026-01"
-1.11584,114.18512,339.48,0.39,0.36,2026-01-15,"0552","SNPP","SNPP","n","2",290.8,4.16,"D",0,"archive",826,186706.523315775,9876516.03633923,"2026-01"
-1.06776,114.06012,330.79,0.39,0.36,2026-01-15,"0552","SNPP","SNPP","n","2",280.73,2.88,"D",0,"archive",831,172776.90275211,9881823.75647561,"2026-01"
-1.40371,114.44357,336.49,0.39,0.44,2026-01-16,"0533","SNPP","SNPP","n","2",289.1,21.72,"D",0,"archive",1118,215523.215533841,9844692.01125121,"2026-01"
-1.40425,114.43999,336.41,0.39,0.44,2026-01-16,"0533","SNPP","SNPP","n","2",297.3,46.94,"D",0,"archive",1119,215124.635869803,9844631.82838627,"2026-01"
-1.40019,114.43941,350.37,0.39,0.44,2026-01-16,"0533","SNPP","SNPP","n","2",291.64,46.94,"D",0,"archive",1120,215059.559220834,9845080.96329701,"2026-01"
-1.36698,114.2802,332.46,0.4,0.44,2026-01-16,"0533","SNPP","SNPP","n","2",289.62,2.53,"D",0,"archive",1125,197325.581335896,9848735.87230942,"2026-01"
-1.324,114.00576,340.56,0.42,0.45,2026-01-16,"0533","SNPP","SNPP","n","2",288.78,3.86,"D",0,"archive",1129,166751.833260954,9853456.61756884,"2026-01"
-1.32251,114.00636,332.85,0.42,0.45,2026-01-16,"0533","SNPP","SNPP","n","2",289.79,2.6,"D",0,"archive",1133,166818.473109172,9853621.61532711,"2026-01"
-1.23831,114.11227,336.4,0.41,0.45,2026-01-16,"0533","SNPP","SNPP","n","2",280.67,6.92,"D",0,"archive",1138,178605.60740244,9862954.18056485,"2026-01"
-1.23418,114.11163,349.77,0.41,0.45,2026-01-16,"0533","SNPP","SNPP","n","2",281.05,6.92,"D",0,"archive",1140,178533.819318667,9863411.17810068,"2026-01"
-1.22619,114.13666,343.55,0.41,0.45,2026-01-16,"0533","SNPP","SNPP","n","2",282.41,12.28,"D",0,"archive",1141,181320.972088874,9864298.4444488,"2026-01"
-1.22207,114.13599,354.35,0.41,0.45,2026-01-16,"0533","SNPP","SNPP","n","2",284.31,12.28,"D",0,"archive",1142,181245.853757684,9864754.32327284,"2026-01"
-1.06881,114.033,340.24,0.41,0.45,2026-01-16,"0533","SNPP","SNPP","n","2",279.21,7.88,"D",0,"archive",1143,169755.721203876,9881704.63799185,"2026-01"
-1.6615,114.32494,334.18,0.42,0.61,2026-01-17,"0514","SNPP","SNPP","n","2",285.56,3.38,"D",0,"archive",1250,202348.404867822,9816152.23206815,"2026-01"
-1.36776,114.32088,353.45,0.42,0.61,2026-01-17,"0514","SNPP","SNPP","n","2",279.83,9.73,"D",0,"archive",1266,201856.119135475,9848654.65941833,"2026-01"
-1.36458,114.32221,337.03,0.42,0.61,2026-01-17,"0514","SNPP","SNPP","n","2",279.5,8,"D",0,"archive",1267,202003.843293417,9849006.69874685,"2026-01"
-1.36516,114.31847,341.07,0.42,0.61,2026-01-17,"0514","SNPP","SNPP","n","2",276.62,5.73,"D",0,"archive",1268,201587.405775178,9848942.05604904,"2026-01"
-1.37429,114.26426,319.32,0.39,0.36,2026-01-17,"1756","SNPP","SNPP","n","2",291.81,1.27,"N",0,"archive",1433,195551.261676828,9847924.94817014,"2026-01"
-1.46437,114.58772,305.78,0.4,0.37,2026-01-17,"1756","SNPP","SNPP","n","2",291.52,0.24,"N",0,"archive",1434,231580.969033006,9837998.29681809,"2026-01"
-1.48069,114.58154,311.73,0.4,0.37,2026-01-17,"1756","SNPP","SNPP","n","2",291.71,1.24,"N",0,"archive",1435,230894.857813362,9836192.07591905,"2026-01"
-1.5161,114.39051,306.29,0.39,0.36,2026-01-17,"1756","SNPP","SNPP","n","2",291.72,0.48,"N",0,"archive",1440,209629.129280869,9832249.96358453,"2026-01"
-1.54542,114.29533,329.56,0.47,0.64,2026-01-18,"0636","SNPP","SNPP","n","2",282.42,5.44,"D",0,"archive",1606,199034.29842379,9828992.55191233,"2026-01"
-1.75309,113.98032,346.41,0.42,0.45,2026-01-19,"0617","SNPP","SNPP","n","2",293.47,8.61,"D",0,"archive",1950,163985.094886504,9805959.20092736,"2026-01"
-1.3921,114.29879,332.62,0.45,0.47,2026-01-19,"0617","SNPP","SNPP","n","2",287.56,3.2,"D",0,"archive",1976,199399.084697836,9845958.57395688,"2026-01"
-1.36931,114.30351,329.44,0.45,0.47,2026-01-19,"0617","SNPP","SNPP","n","2",286.93,3.51,"D",0,"archive",1977,199921.872945255,9848480.97818515,"2026-01"
-1.24883,114.21899,329.46,0.44,0.46,2026-01-19,"0617","SNPP","SNPP","n","2",292.54,3.19,"D",0,"archive",1986,190493.972139387,9861802.73876985,"2026-01"
-1.24627,114.21895,330.32,0.44,0.46,2026-01-19,"0617","SNPP","SNPP","n","2",292.33,2.83,"D",0,"archive",1987,190489.217292375,9862086.02790168,"2026-01"
-1.18199,114.07067,343.33,0.44,0.46,2026-01-19,"0617","SNPP","SNPP","n","2",289.9,6.26,"D",0,"archive",1990,173964.902159685,9869182.36497544,"2026-01"
-1.15183,114.12284,334.41,0.44,0.46,2026-01-19,"0617","SNPP","SNPP","n","2",291.26,109.98,"D",0,"archive",1991,179772.97685416,9872526.27721643,"2026-01"
-1.15784,114.12334,351.55,0.44,0.46,2026-01-19,"0617","SNPP","SNPP","n","2",293.19,14.66,"D",0,"archive",1993,179829.347399836,9871861.20208636,"2026-01"
-1.14377,114.15817,339.91,0.44,0.46,2026-01-19,"0617","SNPP","SNPP","n","2",292.03,2.91,"D",0,"archive",1995,183707.574558058,9873422.20800695,"2026-01"
-1.33165,114.01044,310.21,0.35,0.57,2026-01-19,"1718","SNPP","SNPP","n","2",283.88,0.87,"N",0,"archive",2086,167274.201362334,9852610.52891378,"2026-01"
-1.37313,114.26355,303.27,0.34,0.56,2026-01-19,"1718","SNPP","SNPP","n","2",286.54,0.43,"N",0,"archive",2087,195472.041293587,9848053.22031892,"2026-01"
-1.37363,114.26659,302.59,0.34,0.56,2026-01-19,"1718","SNPP","SNPP","n","2",286.3,0.43,"N",0,"archive",2088,195810.671796556,9847998.27924673,"2026-01"
-3.02319,114.49055,333.37,0.39,0.36,2026-01-20,"0558","SNPP","SNPP","n","2",288.75,2.5,"D",0,"archive",2164,221057.775592997,9665521.23359534,"2026-01"
-1.85212,114.45947,334.31,0.4,0.37,2026-01-20,"0558","SNPP","SNPP","n","2",295.78,3.58,"D",0,"archive",2168,217356.256874955,9795081.74747881,"2026-01"
-1.77073,114.30521,336.32,0.39,0.36,2026-01-20,"0558","SNPP","SNPP","n","2",298.66,5.78,"D",0,"archive",2171,200168.479926021,9804062.5070631,"2026-01"
