latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-2.00162,121.43254,331.17,0.45,0.39,2026-01-01,0513,SNPP,SNPP,n,2,274.52,5.97,D,2
-2.82495,122.15535,325.03,0.43,0.38,2026-01-01,0513,SNPP,SNPP,n,2,284.03,2.69,D,2
-3.90177,122.41608,331.7,0.43,0.38,2026-01-01,0513,SNPP,SNPP,n,2,292.7,4.89,D,2
-2.00883,121.43346,330.28,0.45,0.39,2026-01-01,0513,SNPP,SNPP,n,2,270.03,3.66,D,2
-3.87198,122.39979,329.26,0.43,0.38,2026-01-01,0513,SNPP,SNPP,n,2,289.53,4.43,D,2
-1.40588,121.77396,339.42,0.43,0.38,2026-01-01,0514,SNPP,SNPP,n,2,285.67,3.49,D,0
-1.38116,122.48197,340.62,0.41,0.37,2026-01-01,0514,SNPP,SNPP,n,2,294.1,5.53,D,2
-0.99972,121.9364,329.34,0.42,0.38,2026-01-01,0514,SNPP,SNPP,n,2,291.91,3.21,D,0
-1.08512,121.48915,330.42,0.44,0.38,2026-01-01,0514,SNPP,SNPP,n,2,297.22,12.86,D,0
-1.22671,121.57961,331.75,0.44,0.38,2026-01-01,0514,SNPP,SNPP,n,2,289.28,3.96,D,0
-1.08454,121.49303,329.78,0.44,0.38,2026-01-01,0514,SNPP,SNPP,n,2,296.77,10.47,D,0
-3.6671,105.76851,351.14,0.48,0.48,2026-01-01,0654,SNPP,SNPP,n,2,285.64,15.56,D,0
0.48111,128.00238,317.15,0.5,0.66,2026-01-01,1614,SNPP,SNPP,n,2,285.9,2.45,N,2
0.48035,128.00703,305.64,0.5,0.66,2026-01-01,1614,SNPP,SNPP,n,2,285.29,2.45,N,2
0.51144,127.89274,304.4,0.51,0.66,2026-01-01,1614,SNPP,SNPP,n,2,283.57,1.43,N,2
0.51032,127.89371,309.68,0.51,0.66,2026-01-01,1614,SNPP,SNPP,n,2,283.82,2.64,N,2
0.4897,127.98627,312.24,0.51,0.66,2026-01-01,1614,SNPP,SNPP,n,2,285.67,1.85,N,2
0.48365,127.98483,302.84,0.51,0.66,2026-01-01,1614,SNPP,SNPP,n,2,285.03,1.85,N,2
0.48296,127.98933,304.13,0.5,0.66,2026-01-01,1614,SNPP,SNPP,n,2,285.26,1.85,N,2
0.48224,127.99402,312.55,0.5,0.66,2026-01-01,1614,SNPP,SNPP,n,2,285.66,3,N,2
0.48151,127.99874,311.28,0.5,0.66,2026-01-01,1614,SNPP,SNPP,n,2,285.26,3,N,2
0.48079,128.00342,319.02,0.5,0.66,2026-01-01,1614,SNPP,SNPP,n,2,285.5,3.79,N,2
0.51065,127.89761,309.23,0.51,0.66,2026-01-01,1614,SNPP,SNPP,n,2,284.18,1.43,N,2
0.49013,127.98533,313.59,0.5,0.66,2026-01-01,1614,SNPP,SNPP,n,2,285.42,2.65,N,2
0.48263,127.99295,314.09,0.5,0.66,2026-01-01,1614,SNPP,SNPP,n,2,285.96,2.88,N,2
0.48187,127.99767,310.57,0.5,0.66,2026-01-01,1614,SNPP,SNPP,n,2,285.29,2.88,N,2
-3.75077,138.7101,295.77,0.39,0.36,2026-01-01,1615,SNPP,SNPP,n,2,284.59,0.43,N,0
2.7802,125.41643,302.19,0.51,0.66,2026-01-01,1754,SNPP,SNPP,n,2,270.55,1.05,N,0
-1.37961,122.48036,312.36,0.37,0.58,2026-01-01,1755,SNPP,SNPP,n,2,273.03,1.81,N,2
-1.38499,122.47952,297.81,0.37,0.58,2026-01-01,1755,SNPP,SNPP,n,2,273.37,1.48,N,0
-1.38159,122.48073,315.28,0.37,0.58,2026-01-01,1755,SNPP,SNPP,n,2,273.68,1.61,N,2
