latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-7.45772,140.47813,306.62,0.56,0.43,2026-04-30,1548,SNPP,SNPP,n,2.0NRT,288.09,1.05,N
-2.44398,133.13185,309.17,0.59,0.7,2026-04-30,1726,SNPP,SNPP,n,2.0NRT,284.89,3.53,N
-1.56414,127.42786,306.04,0.47,0.48,2026-04-30,1726,SNPP,SNPP,n,2.0NRT,290.12,2.9,N
-1.56914,127.43115,305.97,0.47,0.48,2026-04-30,1726,SNPP,SNPP,n,2.0NRT,290.05,0.79,N
-1.57354,127.43051,305.7,0.47,0.48,2026-04-30,1726,SNPP,SNPP,n,2.0NRT,290.08,1.35,N
-2.44356,133.13094,304.64,0.59,0.7,2026-04-30,1726,SNPP,SNPP,n,2.0NRT,285.12,1.8,N
-1.38057,122.47955,302.25,0.4,0.37,2026-04-30,1726,SNPP,SNPP,n,2.0NRT,281.18,0.24,N
2.77423,125.40651,307.36,0.47,0.4,2026-04-30,1726,SNPP,SNPP,n,2.0NRT,287.99,1.35,N
0.59327,122.54102,302.99,0.39,0.36,2026-04-30,1726,SNPP,SNPP,n,2.0NRT,288.32,0.92,N
1.28732,116.90391,304.43,0.39,0.44,2026-04-30,1726,SNPP,SNPP,n,2.0NRT,286.85,0.59,N
2.78152,125.40745,303.86,0.47,0.4,2026-04-30,1726,SNPP,SNPP,n,2.0NRT,289.03,0.59,N
1.92921,109.50997,307.05,0.62,0.72,2026-04-30,1726,SNPP,SNPP,n,2.0NRT,276.18,0.89,N
0.67496,117.56601,300.93,0.52,0.42,2026-04-30,1726,SNPP,SNPP,n,2.0NRT,282.23,1.01,N
1.76697,109.58637,300.01,0.61,0.71,2026-04-30,1726,SNPP,SNPP,n,2.0NRT,276,0.81,N
-1.45784,127.43824,333.29,0.47,0.48,2026-04-30,1726,SNPP,SNPP,n,2.0NRT,291.07,3.86,N
-1.45725,127.43436,307.67,0.47,0.48,2026-04-30,1726,SNPP,SNPP,n,2.0NRT,290.35,3.94,N
-2.83904,122.18189,304.16,0.4,0.37,2026-04-30,1728,SNPP,SNPP,n,2.0NRT,278.38,0.95,N
-2.87999,122.15713,309.2,0.4,0.37,2026-04-30,1728,SNPP,SNPP,n,2.0NRT,277.59,1.12,N
-3.87101,122.39374,322.14,0.41,0.37,2026-04-30,1728,SNPP,SNPP,n,2.0NRT,282.11,2.89,N
-3.87216,122.40108,323.07,0.41,0.37,2026-04-30,1728,SNPP,SNPP,n,2.0NRT,282.84,1.97,N
-3.87158,122.3974,316.52,0.41,0.37,2026-04-30,1728,SNPP,SNPP,n,2.0NRT,283,1.97,N
-3.87274,122.40473,311.53,0.41,0.37,2026-04-30,1728,SNPP,SNPP,n,2.0NRT,282.84,1.18,N
-3.87331,122.40839,308.81,0.41,0.37,2026-04-30,1728,SNPP,SNPP,n,2.0NRT,282.84,1.18,N
-3.90236,122.41516,312.12,0.41,0.37,2026-04-30,1728,SNPP,SNPP,n,2.0NRT,282.68,1.65,N
-3.90294,122.41882,315.17,0.41,0.37,2026-04-30,1728,SNPP,SNPP,n,2.0NRT,283.92,1.65,N
-2.88468,115.25835,301.23,0.43,0.46,2026-04-30,1728,SNPP,SNPP,n,2.0NRT,260.04,1.39,N
-6.80573,111.5423,300.71,0.33,0.55,2026-04-30,1728,SNPP,SNPP,n,2.0NRT,280.14,0.51,N
-2.88056,122.16069,307.54,0.4,0.37,2026-04-30,1728,SNPP,SNPP,n,2.0NRT,277.54,1.12,N
-2.87383,122.16177,316.76,0.4,0.37,2026-04-30,1728,SNPP,SNPP,n,2.0NRT,278.47,2.23,N
-2.8654,122.1521,305.75,0.4,0.37,2026-04-30,1728,SNPP,SNPP,n,2.0NRT,279,1.51,N
-2.85982,122.18236,313.56,0.4,0.37,2026-04-30,1728,SNPP,SNPP,n,2.0NRT,278.88,2.17,N
-2.84466,122.19572,302.52,0.4,0.37,2026-04-30,1728,SNPP,SNPP,n,2.0NRT,278.57,1.49,N
5.22356,97.07335,315.55,0.38,0.36,2026-04-30,1906,SNPP,SNPP,n,2.0NRT,292.9,0.68,N
4.91176,97.48087,324.71,0.38,0.36,2026-04-30,1906,SNPP,SNPP,n,2.0NRT,291.32,1.31,N
-3.80974,103.81678,304.16,0.33,0.56,2026-04-30,1908,SNPP,SNPP,n,2.0NRT,284.47,1.54,N
-3.72439,103.71358,296.1,0.33,0.55,2026-04-30,1908,SNPP,SNPP,n,2.0NRT,274.9,0.63,N
-3.37216,104.03698,301.17,0.34,0.56,2026-04-30,1908,SNPP,SNPP,n,2.0NRT,270.59,0.4,N
-3.35848,103.8828,296.31,0.33,0.55,2026-04-30,1908,SNPP,SNPP,n,2.0NRT,271,0.51,N
-3.37163,104.03715,297.58,0.34,0.56,2026-04-30,1908,SNPP,SNPP,n,2.0NRT,270.97,0.31,N
-3.30755,104.31977,295,0.35,0.57,2026-04-30,1908,SNPP,SNPP,n,2.0NRT,267.34,0.43,N
-2.09888,103.79758,305.01,0.63,0.54,2026-04-30,1908,SNPP,SNPP,n,2.0NRT,281.57,1.04,N
0.30554,99.44671,301.55,0.47,0.39,2026-04-30,1908,SNPP,SNPP,n,2.0NRT,279.67,0.58,N
4.27105,98.03413,307.86,0.39,0.36,2026-04-30,1908,SNPP,SNPP,n,2.0NRT,291.56,0.8,N
4.29898,97.90234,304.04,0.39,0.36,2026-04-30,1908,SNPP,SNPP,n,2.0NRT,289.48,0.74,N
-6.18421,106.35222,295.09,0.54,0.68,2026-04-30,1910,SNPP,SNPP,n,2.0NRT,270.4,0.93,N
-8.56677,140.90155,330.48,0.43,0.38,2026-05-01,0423,SNPP,SNPP,n,2.0NRT,293.91,1.65,D
-6.23321,138.75952,328.68,0.39,0.36,2026-05-01,0423,SNPP,SNPP,n,2.0NRT,296.42,4.24,D
-6.32958,138.66026,347.15,0.39,0.36,2026-05-01,0423,SNPP,SNPP,n,2.0NRT,296.95,9.8,D
