"r","observed","lower","upper","reference"
0,0,0,0,"CSR"
0.1,0.633401539028506,-0.0249696795069811,0.0218258521621105,"CSR"
0.2,1.23675093889014,-0.0225900322860188,0.0245218304507654,"CSR"
0.3,1.81988571111413,-0.024320999331924,0.0231138266406734,"CSR"
0.4,2.43377764659332,-0.0207779174159616,0.0195847355844381,"CSR"
0.5,3.01297426379785,-0.0216898005535515,0.0186088657353519,"CSR"
0.6,3.52632443336571,-0.022683611606602,0.0189280973371835,"CSR"
0.7,4.01171394576671,-0.025254631058766,0.0201150431369399,"CSR"
0.8,4.45805067568298,-0.0263019260594496,0.0198204676963551,"CSR"
0.9,4.9034660991713,-0.0235874131806539,0.019169390839343,"CSR"
1,5.32335154655907,-0.0275675970230351,0.0204862070718848,"CSR"
1.1,5.72856895205841,-0.0264428660310683,0.018395190088752,"CSR"
1.2,6.10913362180065,-0.0226680222297932,0.015598943688113,"CSR"
1.3,6.47720373516214,-0.025243721026935,0.0161710323666666,"CSR"
1.4,6.84061550014287,-0.0275929772978809,0.0173440886437406,"CSR"
1.5,7.18619323058962,-0.0258030422587916,0.0178586977945236,"CSR"
1.6,7.52066682515775,-0.022952702723837,0.0163033920895101,"CSR"
1.7,7.85751949978903,-0.020092914742682,0.0173333719236963,"CSR"
1.8,8.16620680693366,-0.0242426752689835,0.0225917198386913,"CSR"
1.9,8.46341842425034,-0.0234708168411097,0.0218708426177052,"CSR"
2,8.76424771067797,-0.0235612915135637,0.0229046199327239,"CSR"
2.1,9.04449006174129,-0.0214678555358603,0.0254037604459998,"CSR"
2.2,9.3123159599545,-0.0212544180293297,0.0278251746984743,"CSR"
2.3,9.57149667005955,-0.0183453749377827,0.0291691559895133,"CSR"
2.4,9.82032471673992,-0.0215259087864159,0.0283888721624623,"CSR"
2.5,10.0569289234128,-0.0233161677582485,0.0260218829196184,"CSR"
2.6,10.2770063944863,-0.0267713482987033,0.0267898202703494,"CSR"
2.7,10.4884745128693,-0.0246360466484199,0.0267722083520718,"CSR"
2.8,10.6870317548321,-0.0266624429532452,0.0251687140092618,"CSR"
2.9,10.8763329760379,-0.0232955792628191,0.0238937873571237,"CSR"
3,11.0505443629933,-0.0278723588442285,0.0240449915904968,"CSR"
3.1,11.211241365802,-0.0258405476665318,0.0252572865987206,"CSR"
3.2,11.3681906314388,-0.0258476056546786,0.0269867261248744,"CSR"
3.3,11.5150830451954,-0.0271809204130862,0.024154840119667,"CSR"
3.4,11.648022095455,-0.0299525347733205,0.0247935659953709,"CSR"
3.5,11.7714361731238,-0.0298852357779524,0.0263290664859137,"CSR"
3.6,11.8931929130494,-0.0318500193748825,0.0255208868838248,"CSR"
3.7,11.999852847657,-0.0302556994628906,0.0272991594405005,"CSR"
3.8,12.0960873016661,-0.0322429125866832,0.0272325122998969,"CSR"
3.9,12.1856926054969,-0.0372236410423978,0.0276351021972201,"CSR"
4,12.271268534243,-0.0363204788979625,0.0303717707069033,"CSR"
4.1,12.3479788101324,-0.0351289215940884,0.0322203647481256,"CSR"
4.2,12.416899633906,-0.0371442016996077,0.0335207518124649,"CSR"
4.3,12.4810573324089,-0.0383252693768199,0.0328956903964484,"CSR"
4.4,12.5416152674684,-0.0367654576856546,0.0359090616864188,"CSR"
4.5,12.5996547998858,-0.0360607521022676,0.0357247499512603,"CSR"
4.6,12.6478725231456,-0.0382365951524894,0.0372137042217258,"CSR"
4.7,12.6939352757839,-0.0357748757674026,0.037288300797818,"CSR"
4.8,12.7366192945199,-0.0339408979055369,0.0406172468842021,"CSR"
4.9,12.7791418704479,-0.0321923053126332,0.0427660274687414,"CSR"
5,12.8139662495116,-0.0314940035462756,0.0439295077599064,"CSR"
5.1,12.843159641207,-0.0333328047865429,0.0448657406216837,"CSR"
5.2,12.8732030008289,-0.0335366337618446,0.0428789738510176,"CSR"
5.3,12.90340864315,-0.0350114343290953,0.0426741260497421,"CSR"
5.4,12.9271421482809,-0.0350787388076652,0.0422748287671739,"CSR"
5.5,12.9496383404191,-0.0341762555751064,0.0426587751674257,"CSR"
5.6,12.9716983865847,-0.0365429703574245,0.0437421570894516,"CSR"
5.7,12.9931336517265,-0.0366820445875993,0.044786334766842,"CSR"
5.8,13.012445277722,-0.0342491812522505,0.0448041454880084,"CSR"
5.9,13.0292376682305,-0.0327662456550115,0.0464740971191313,"CSR"
6,13.046824364042,-0.0348112609244726,0.0474439457018914,"CSR"
6.1,13.0644762153961,-0.0356510772124086,0.0477448082242313,"CSR"
6.2,13.0794350954301,-0.0350046297429669,0.0493505514135526,"CSR"
6.3,13.0952226824371,-0.0364804029498638,0.0473489550183803,"CSR"
6.4,13.1088132210141,-0.0343841612319169,0.0488836397643757,"CSR"
6.5,13.1263444464063,-0.0343649044992969,0.0492521599786864,"CSR"
6.6,13.1432019459204,-0.0336531414020147,0.0514081653407104,"CSR"
6.7,13.1605335894201,-0.0335512337649657,0.0513135326380301,"CSR"
6.8,13.1782243895547,-0.0326087274981637,0.0537940966587334,"CSR"
6.9,13.1980285773837,-0.0351690134240039,0.0536646697823162,"CSR"
7,13.2169906420487,-0.0350917723293245,0.054344133005495,"CSR"
7.1,13.2369446271521,-0.0349426268870667,0.05641712509426,"CSR"
7.2,13.2582321522742,-0.037541000631097,0.0589902050471567,"CSR"
